id,longitude,latitude
10800002,4.09747,48.281349
10800003,4.088924,48.267495
10800006,4.108898,48.235916
11000003,2.371587,43.208595
11000004,2.323081,43.196812
11000008,2.347274,43.217065
11000012,2.354595,43.215524
11000013,3.014742,43.181757
11000015,2.322033,43.196413
11000016,2.367681,43.235736
11100001,2.989661,43.169867
11100002,3.007226,43.191237
11100003,2.981227,43.181693
11100004,2.965224,43.181825
11220001,2.704676,43.08815
11100006,2.995932,43.17943
11100010,2.985945,43.1594
11100012,3.011821,43.195719
11100013,2.995932,43.17943
11101001,2.976907,43.157787
11106001,2.981874,43.181685
11110001,3.053371,43.230857
11110003,3.073008,43.19873
11110004,3.052404,43.237032
11120001,2.918573,43.247297
11130001,2.962709,43.031882
11150001,2.097269,43.243423
11150002,2.092129,43.27966
11160001,2.592117,43.283616
11170001,2.248534,43.248704
11170002,2.170789,43.254684
11200001,2.756354,43.19461
11200006,2.753562,43.186913
11200008,2.751208,43.199902
13120006,5.476572,43.451013
11210003,3.036863,43.021686
11260001,2.209358,42.934011
11290001,2.243289,43.187892
11290002,2.243289,43.187892
11400005,1.956857,43.29974
11290003,2.138197,43.195442
11300001,2.214647,43.061156
11300002,2.251016,43.023993
11300004,2.213457,43.056639
11400001,1.97042,43.310869
11400002,1.965557,43.313187
11400003,2.018364,43.298808
11400004,1.978272,43.306487
11400006,1.936284,43.324219
11430001,3.088935,43.1077
11430002,3.101879,43.111862
14500008,-0.887266,48.846671
12000001,2.571496,44.35905
11500001,2.184214,42.874496
11500002,2.226371,42.827634
11500004,2.18606,42.877655
12140001,2.57387,44.653013
11540001,2.955886,42.99352
11560001,3.181323,43.171617
11590002,2.947385,43.256562
12310002,2.819674,44.383895
11590003,2.995307,43.264658
11700003,2.649195,43.219637
11700005,2.658529,43.277951
11700006,2.55967,43.187093
11800003,2.451243,43.212294
11880001,2.314602,43.209402
12200005,2.026157,44.356633
12000002,2.580653,44.345765
12000003,2.550447,44.365732
12000007,2.565975,44.361955
12000010,2.572847,44.362165
12000011,2.590291,44.360367
12100001,3.070128,44.116594
12100002,3.081739,44.109945
12100004,3.07457,44.093492
12100005,3.082109,44.10667
12100006,3.042673,44.08243
18520001,2.653247,47.033071
12100009,3.055987,44.08832
12100010,3.082575,44.113507
12110002,2.272664,44.525608
12110004,2.223637,44.559842
12120001,2.520767,44.174834
12130001,2.967946,44.461047
12130002,2.967946,44.461047
13008003,5.393685,43.274065
12150001,2.942177,44.327742
12330003,2.470121,44.45805
12150002,3.069014,44.33008
12150003,3.069595,44.320839
12150004,3.061092,44.326138
12150005,2.942177,44.327742
12160002,2.427539,44.280339
12160003,2.443402,44.27709
12170001,2.535175,44.03038
12170004,2.522637,44.036789
12200001,2.040152,44.361184
12800001,2.362746,44.182764
12200002,2.038015,44.360674
12200003,2.03942,44.360036
12200006,1.983786,44.359022
12220001,2.226311,44.463033
12230003,3.329824,43.950787
12240001,2.249499,44.305841
12240002,2.249499,44.305841
12260001,2.028314,44.437673
12340001,2.729079,44.468727
12260002,2.003588,44.510967
12260003,2.03002,44.435798
12270001,2.041097,44.238904
12290001,2.727048,44.281509
17137001,-1.159168,46.198555
12290002,2.727048,44.281509
12290003,2.727048,44.281509
12300001,2.266268,44.555596
12300003,2.249042,44.561729
12310001,2.771774,44.395587
12330004,2.439395,44.442306
12340002,2.728278,44.466119
12360001,2.872173,43.830076
12390001,2.293926,44.405951
12500003,2.766991,44.523519
12400001,2.874238,43.961706
12400002,2.87483,43.957228
12400003,2.890888,43.942326
12400004,2.870196,43.957197
12400005,2.868562,43.956904
12400006,2.891915,43.952919
14160004,-0.10943,49.28531
12420001,2.760102,44.798052
12430001,2.701554,44.090011
12450001,2.557788,44.3069
12450002,2.558235,44.291886
12490001,2.963579,44.011438
12500002,2.764527,44.524039
12500004,2.758197,44.527501
12510001,2.551745,44.348115
12560001,3.134181,44.456254
12560002,3.113351,44.385433
12580001,2.562943,44.540223
12600001,2.65953,44.816268
12600002,2.663419,44.841323
12700001,2.073525,44.571551
12800003,2.361395,44.186311
12850001,2.58852,44.367542
12850003,2.58852,44.367542
12850004,2.584251,44.369723
13002003,5.371191,43.302148
13003003,5.369641,43.311009
13004003,5.400936,43.303396
13004004,5.400936,43.303396
13005005,5.398289,43.292287
13005009,5.400241,43.28924
13005010,5.401708,43.293075
13005011,5.400241,43.28924
13005012,5.401708,43.293075
13006002,5.390017,43.284733
13006003,5.374006,43.28628
13006005,5.390017,43.284733
13007001,5.35914,43.291245
13007002,5.356328,43.29183
13007007,5.363145,43.278547
13008004,5.381876,43.250208
13008008,5.389999,43.249614
13008012,5.393012,43.263014
13008013,5.382195,43.254958
13008014,5.367854,43.242326
13008015,5.393012,43.263014
13008016,5.395177,43.274964
13008017,5.393012,43.263014
13009001,5.41759,43.246025
13009002,5.403773,43.250518
13009003,5.421065,43.254055
